exit_pattern,trades,wins,losses,net_pnl,avg_pnl,median_pnl,avg_win,avg_loss,max_win,max_loss,win_rate_%,profit_factor
TP1 | TRAIL_SL,11,10,1,34878.5,3170.7727272727275,3260.0,3512.85,-250.0,6344.249999999999,-250.0,90.91,140.51
EOD | EOD,4,0,4,-5660.499999999988,-1415.124999999997,-1381.0000000000023,,-1415.1249999999968,-262.9999999999882,-2635.4999999999955,0.0,
SL | INITIAL_SL,14,1,13,-14082.000000000004,-1005.8571428571431,-925.9999999999984,5587.000000000005,-1513.000000000001,5587.000000000005,-4800.0,7.14,0.28
