level_name,trades,wins,losses,net_pnl,avg_pnl,median_pnl,avg_win,avg_loss,max_win,max_loss,win_rate_%,profit_factor
S1,12,5,7,13744.00000000001,1145.3333333333342,-250.0,4513.200000000002,-1260.2857142857138,6344.249999999999,-4800.0,41.67,2.56
R2,1,1,0,1790.9999999999986,1790.9999999999986,1790.9999999999986,1790.9999999999986,,1790.9999999999986,1790.9999999999986,100.0,
R1,6,2,4,1704.4999999999973,284.08333333333286,-925.9999999999984,3292.5,-1220.1250000000007,4573.000000000003,-1738.500000000006,33.33,1.35
S2,10,3,7,-2103.4999999999936,-210.34999999999937,-903.2500000000007,3257.8333333333344,-1696.714285714285,4274.000000000002,-3545.5000000000027,30.0,0.82
