date,open,high,low,close,volume
2025-11-26 09:15:00+05:30,26280.8,26490.0,26280.8,26490.0,3185
2025-11-26 09:20:00+05:30,26490.0,26495.0,26476.5,26483.0,2275
2025-11-26 09:25:00+05:30,26483.0,26494.0,26471.5,26490.0,1690
2025-11-26 09:30:00+05:30,26490.0,26519.8,26489.2,26519.8,2730
2025-11-26 09:35:00+05:30,26519.8,26519.8,26500.0,26500.0,780
2025-11-26 09:40:00+05:30,26500.0,26529.0,26498.0,26529.0,975
2025-11-26 09:45:00+05:30,26529.0,26555.0,26529.0,26545.1,2860
2025-11-26 09:50:00+05:30,26545.1,26590.0,26545.1,26583.0,3250
2025-11-26 09:55:00+05:30,26583.0,26595.0,26579.1,26587.3,2340
2025-11-26 10:00:00+05:30,26587.3,26595.5,26581.0,26588.0,2795
2025-11-26 10:05:00+05:30,26588.0,26599.0,26585.0,26595.7,1690
2025-11-26 10:10:00+05:30,26595.7,26595.7,26574.8,26593.4,1690
2025-11-26 10:15:00+05:30,26593.4,26593.8,26581.6,26581.6,780
2025-11-26 10:20:00+05:30,26581.6,26590.0,26580.0,26582.0,1820
2025-11-26 10:25:00+05:30,26582.0,26585.0,26568.3,26568.4,845
2025-11-26 10:30:00+05:30,26568.4,26580.0,26566.9,26573.2,585
2025-11-26 10:35:00+05:30,26573.2,26589.0,26573.2,26583.0,780
2025-11-26 10:40:00+05:30,26583.0,26590.0,26583.0,26586.1,650
2025-11-26 10:45:00+05:30,26586.1,26625.0,26586.1,26620.0,3380
2025-11-26 10:50:00+05:30,26620.0,26624.8,26600.0,26600.0,1235
2025-11-26 10:55:00+05:30,26600.0,26607.0,26600.0,26606.8,910
2025-11-26 11:00:00+05:30,26606.8,26621.6,26606.8,26621.6,910
2025-11-26 11:05:00+05:30,26621.6,26621.9,26609.6,26610.0,325
2025-11-26 11:10:00+05:30,26610.0,26619.5,26605.4,26609.0,910
2025-11-26 11:15:00+05:30,26609.0,26622.0,26609.0,26622.0,585
2025-11-26 11:20:00+05:30,26622.0,26624.4,26616.7,26620.0,585
2025-11-26 11:25:00+05:30,26620.0,26624.9,26615.7,26624.0,1495
2025-11-26 11:30:00+05:30,26624.0,26625.0,26620.0,26625.0,1755
2025-11-26 11:35:00+05:30,26625.0,26625.0,26611.5,26611.5,585
2025-11-26 11:40:00+05:30,26611.5,26620.0,26610.4,26611.8,780
2025-11-26 11:45:00+05:30,26611.8,26611.8,26605.0,26610.0,780
2025-11-26 11:50:00+05:30,26610.0,26615.0,26610.0,26615.0,65
2025-11-26 11:55:00+05:30,26615.0,26625.0,26615.0,26625.0,1235
2025-11-26 12:00:00+05:30,26625.0,26630.0,26619.7,26630.0,845
2025-11-26 12:05:00+05:30,26630.0,26638.0,26623.3,26638.0,1170
2025-11-26 12:10:00+05:30,26638.0,26648.0,26638.0,26648.0,1885
2025-11-26 12:15:00+05:30,26648.0,26649.9,26640.0,26642.9,910
2025-11-26 12:20:00+05:30,26642.9,26648.0,26635.1,26648.0,585
2025-11-26 12:25:00+05:30,26648.0,26648.0,26630.1,26633.7,1040
2025-11-26 12:30:00+05:30,26633.7,26644.9,26633.7,26644.8,260
2025-11-26 12:35:00+05:30,26644.8,26645.0,26635.2,26635.2,520
2025-11-26 12:40:00+05:30,26635.2,26645.0,26635.2,26645.0,390
2025-11-26 12:45:00+05:30,26645.0,26645.0,26640.0,26640.0,325
2025-11-26 12:50:00+05:30,26640.0,26645.0,26635.8,26645.0,455
2025-11-26 12:55:00+05:30,26645.0,26645.0,26630.0,26632.0,780
2025-11-26 13:00:00+05:30,26632.0,26660.0,26632.0,26651.1,1755
2025-11-26 13:05:00+05:30,26651.1,26661.9,26651.1,26660.0,715
2025-11-26 13:10:00+05:30,26660.0,26669.5,26660.0,26666.0,780
2025-11-26 13:15:00+05:30,26666.0,26666.0,26651.7,26651.7,910
