signal_time,entry_time,side,level_name,level_value,fut_signal_close,fut_entry,fut_sl,fut_tp,signal1_idx,signal2_idx,entry_idx,exit_time,exit_price,exit_reason,pnl_points,win,risk_points,reward_points,rr_planned
2026-02-10 09:30:00+05:30,2026-02-10 09:40:00+05:30,LONG,R2,25987.866666666665,25999.9,26004.0,25966.3,26044.0,78,79,80,2026-02-10 12:50:00+05:30,26044.0,TP,40.0,1,37.70000000000073,40.0,1.0610079575596612
2026-02-11 10:35:00+05:30,2026-02-11 10:45:00+05:30,LONG,R1,26029.1,26035.0,26033.0,26015.0,26073.0,166,167,168,2026-02-11 10:55:00+05:30,26015.0,SL,-18.0,0,18.0,40.0,2.2222222222222223
2026-02-12 11:30:00+05:30,2026-02-12 11:40:00+05:30,SHORT,S2,25891.233333333334,25878.0,25880.0,25896.9,25840.0,252,253,254,2026-02-12 12:20:00+05:30,25896.9,SL,-16.900000000001455,0,16.900000000001455,40.0,2.36686390532524
2026-02-12 13:45:00+05:30,2026-02-12 13:55:00+05:30,SHORT,S2,25891.233333333334,25886.0,25885.0,25908.3,25845.0,279,280,281,2026-02-12 14:45:00+05:30,25845.0,TP,40.0,1,23.299999999999272,40.0,1.7167381974249463
2026-02-19 14:25:00+05:30,2026-02-19 14:35:00+05:30,SHORT,S2,25592.466666666667,25558.0,25575.0,25594.9,25535.0,662,663,664,2026-02-19 14:40:00+05:30,25535.0,TP,40.0,1,19.900000000001455,40.0,2.0100502512561342
