side,trades,wins,losses,net_pnl,avg_pnl,median_pnl,avg_win,avg_loss,max_win,max_loss,win_rate_%,profit_factor
SHORT,22,8,14,11640.500000000015,529.113636363637,-250.0,4042.437500000001,-1478.4999999999995,6344.249999999999,-4800.0,36.36,1.56
LONG,7,3,4,3495.499999999996,499.35714285714226,-925.9999999999984,2791.9999999999995,-1220.1250000000007,4573.000000000003,-1738.500000000006,42.86,1.72
