signal_time,entry_time,side,level_name,level_value,fut_signal_close,fut_entry,fut_sl,fut_tp,signal1_idx,signal2_idx,entry_idx,lot1_exit_time,lot1_exit_price,lot1_exit_reason,lot1_pnl_points,lot2_exit_time,lot2_exit_price,lot2_exit_reason,lot2_pnl_points,lot2_final_sl,mfe_points,mae_points,total_points_2lots,effective_points_per_lot,risk_points,tp1_points,tp1_rr
2025-12-01 13:45:00+05:30,2025-12-01 13:55:00+05:30,SHORT,S1,26661.5,26660.0,26660.0,26666.0,26620.0,279,280,281,2025-12-01 14:00:00+05:30,26666.0,SL,-6.0,2025-12-01 14:00:00+05:30,26666.0,INITIAL_SL,-6.0,26666.0,0.0,20.0,-12.0,-6.0,6.0,40.0,6.666666666666667
2025-12-02 10:40:00+05:30,2025-12-02 10:50:00+05:30,SHORT,S1,26573.699999999997,26559.5,26564.9,26577.2,26524.9,317,318,319,2025-12-02 10:50:00+05:30,26577.2,SL,-12.299999999999272,2025-12-02 10:50:00+05:30,26577.2,INITIAL_SL,-12.299999999999272,26577.2,0.0,14.399999999997817,-24.599999999998545,-12.299999999999272,12.299999999999272,40.0,3.2520325203253955
2025-12-02 11:10:00+05:30,2025-12-02 11:20:00+05:30,SHORT,S1,26573.699999999997,26562.0,26564.9,26579.9,26524.9,323,324,325,2025-12-02 14:30:00+05:30,26524.9,TP1,40.0,2025-12-02 14:30:00+05:30,26532.0,TRAIL_SL,32.900000000001455,26532.0,44.900000000001455,1.5,72.90000000000146,36.45000000000073,15.0,40.0,2.6666666666666665
2025-12-03 09:30:00+05:30,2025-12-03 09:40:00+05:30,SHORT,S2,26428.066666666662,26410.0,26409.9,26450.8,26369.9,378,379,380,2025-12-03 15:10:00+05:30,26450.8,SL,-40.89999999999782,2025-12-03 15:10:00+05:30,26450.8,INITIAL_SL,-40.89999999999782,26450.8,39.900000000001455,50.099999999998545,-81.79999999999563,-40.89999999999782,40.89999999999782,40.0,0.9779951100245021
2025-12-05 11:00:00+05:30,2025-12-05 11:10:00+05:30,LONG,R1,26562.866666666672,26579.0,26579.0,26557.0,26619.0,546,547,548,2025-12-05 12:25:00+05:30,26619.0,TP1,40.0,2025-12-05 13:00:00+05:30,26641.1,TRAIL_SL,62.099999999998545,26641.1,79.90000000000146,3.0,102.09999999999854,51.04999999999927,22.0,40.0,1.8181818181818181
2025-12-08 13:30:00+05:30,2025-12-08 13:40:00+05:30,SHORT,S2,26400.0,26384.7,26389.9,26429.0,26349.9,651,652,653,2025-12-08 15:25:00+05:30,26370.0,EOD,19.900000000001455,2025-12-08 15:25:00+05:30,26370.0,EOD,19.900000000001455,26429.0,24.900000000001455,18.899999999997817,39.80000000000291,19.900000000001455,39.099999999998545,40.0,1.0230179028133373
2025-12-08 13:55:00+05:30,2025-12-08 14:05:00+05:30,SHORT,S2,26400.0,26395.0,26383.9,26402.8,26343.9,656,657,658,2025-12-08 14:45:00+05:30,26402.8,SL,-18.899999999997817,2025-12-08 14:45:00+05:30,26402.8,INITIAL_SL,-18.899999999997817,26402.8,18.900000000001455,21.0,-37.799999999995634,-18.899999999997817,18.899999999997817,40.0,2.116402116402361
2025-12-09 09:30:00+05:30,2025-12-09 09:40:00+05:30,SHORT,S1,26271.099999999995,26237.0,26225.5,26272.4,26185.5,678,679,680,2025-12-09 10:15:00+05:30,26272.4,SL,-46.900000000001455,2025-12-09 10:15:00+05:30,26272.4,INITIAL_SL,-46.900000000001455,26272.4,31.5,63.5,-93.80000000000291,-46.900000000001455,46.900000000001455,40.0,0.8528784648187369
2025-12-10 14:20:00+05:30,2025-12-10 14:30:00+05:30,SHORT,S1,26181.200000000004,26178.0,26168.6,26191.4,26128.6,811,812,813,2025-12-10 14:30:00+05:30,26191.4,SL,-22.80000000000291,2025-12-10 14:30:00+05:30,26191.4,INITIAL_SL,-22.80000000000291,26191.4,3.399999999997817,34.60000000000218,-45.60000000000582,-22.80000000000291,22.80000000000291,40.0,1.7543859649120568
2025-12-12 11:10:00+05:30,2025-12-12 11:20:00+05:30,LONG,R1,26392.666666666664,26403.5,26396.3,26390.0,26436.3,923,924,925,2025-12-12 12:35:00+05:30,26436.3,TP1,40.0,2025-12-12 12:45:00+05:30,26437.6,TRAIL_SL,41.29999999999927,26437.6,43.70000000000073,0.0,81.29999999999927,40.649999999999636,6.299999999999272,40.0,6.3492063492070825
2025-12-17 11:55:00+05:30,2025-12-17 12:05:00+05:30,SHORT,S1,26208.333333333336,26205.0,26186.1,26231.8,26146.1,1157,1158,1159,2025-12-17 15:25:00+05:30,26225.0,EOD,-38.900000000001455,2025-12-17 15:25:00+05:30,26225.0,EOD,-38.900000000001455,26231.8,9.099999999998545,38.900000000001455,-77.80000000000291,-38.900000000001455,45.70000000000073,40.0,0.8752735229759161
2025-12-18 09:40:00+05:30,2025-12-18 09:50:00+05:30,SHORT,S1,26166.666666666664,26147.0,26134.0,26167.8,26094.0,1205,1206,1207,2025-12-18 10:10:00+05:30,26167.8,SL,-33.79999999999927,2025-12-18 10:10:00+05:30,26167.8,INITIAL_SL,-33.79999999999927,26167.8,3.0,51.0,-67.59999999999854,-33.79999999999927,33.79999999999927,40.0,1.1834319526627475
2025-12-23 14:15:00+05:30,2025-12-23 14:25:00+05:30,LONG,R1,26561.36666666666,26573.0,26584.0,26559.0,26624.0,1485,1486,1487,2025-12-23 14:30:00+05:30,26559.0,SL,-25.0,2025-12-23 14:30:00+05:30,26559.0,INITIAL_SL,-25.0,26559.0,0.0,25.900000000001455,-50.0,-25.0,25.0,40.0,1.6
